PERMNO,date,RET
3,1998-07-31,0.206972
3,1998-08-31,-0.099278
3,1998-09-30,0.222445
3,1998-10-31,-0.02623
3,1998-11-30,-0.139731
3,1998-12-31,0.2818
3,1999-01-31,0.006107
3,1999-02-28,-0.15478
3,1999-03-31,0.032316
3,1999-04-30,0.28
3,1999-05-31,-0.04212
3,1999-06-30,0.051064
3,1999-07-31,0.202429
3,1999-08-31,0.171717
3,1999-09-30,-0.029693
3,1999-10-31,0.265548
3,1999-11-30,0.221529
3,1999-12-31,0.050447
3,2000-01-31,0.009119
3,2000-02-29,0.104819
3,2000-03-31,0.184842
3,2000-04-30,-0.086516
3,2000-05-31,-0.322922
3,2000-06-30,0.247024
3,2000-07-31,-0.029833
3,2000-08-31,0.199262
3,2000-09-30,-0.577436
3,2000-10-31,-0.240291
3,2000-11-30,-0.15655
3,2000-12-31,-0.098485
3,2001-01-31,0.453782
3,2001-02-28,-0.156069
3,2001-03-31,0.209315
3,2001-04-30,0.154961
3,2001-05-31,-0.21734
3,2001-06-30,0.165413
3,2001-07-31,-0.191828
3,2001-08-31,-0.012773
3,2001-09-30,-0.163881
3,2001-10-31,0.132173
3,2001-11-30,0.212984
3,2001-12-31,0.028169
3,2002-01-31,0.128767
3,2002-02-28,-0.122168
3,2002-03-31,0.090783
3,2002-04-30,0.025349
3,2002-05-31,-0.039967
3,2002-06-30,-0.239485
3,2002-07-31,-0.138826
3,2002-08-31,-0.033421
3,2002-09-30,-0.016949
3,2002-10-31,0.108276
3,2002-11-30,-0.03547
3,2002-12-31,-0.075484
3,2003-01-31,0.002093
3,2003-02-28,0.045265
3,2003-03-31,-0.057961
3,2003-04-30,0.005658
3,2003-05-31,0.262307
3,2003-06-30,0.061838
3,2003-07-31,0.105981
3,2003-08-31,0.072581
3,2003-09-30,-0.083591
3,2003-10-31,0.10473
3,2003-11-30,-0.086501
3,2003-12-31,0.021999
3,2004-01-31,0.055685
3,2004-02-29,0.060284
3,2004-03-31,0.130435
3,2004-04-30,-0.046598
3,2004-05-31,0.088441
3,2004-06-30,0.159658
3,2004-07-31,-0.006146
3,2004-08-31,0.066481
3,2004-09-30,0.123514
3,2004-10-31,0.352258
3,2004-11-30,0.27958
3,2004-12-31,-0.039523
3,2005-01-31,0.194099
3,2005-02-28,0.16671
3,2005-03-31,-0.07111
3,2005-04-30,-0.134629
3,2005-05-31,0.102587
3,2005-06-30,-0.074179
3,2005-07-31,0.158653
3,2005-08-31,0.099414
3,2005-09-30,0.143314
3,2005-10-31,0.07424
3,2005-11-30,0.177635
3,2005-12-31,0.060012
3,2006-01-31,0.050355
3,2006-02-28,-0.092968
